@relation 'BreastCancerAll-weka.filters.unsupervised.attribute.Remove-V-R302,1195,1441,1471,1673,1966,1975,2007,2019,2054,2139,2170,2630,3150,3211,3401,3435,3593,3659,4322,4553,4629,4757,4795,5271,6437,6785,6851,6859,6911,7022,7213,7317,7345,7347,7754,8607,8797,8905,8913,8917,9589,9593-9595,9597-9598,9601-9603,9605,9725,9945,10674,11613,11969,11987,12034,12038,12181'

@attribute 302_chrom1_reg44816452-46047207_probnorm numeric
@attribute 1195_chrom2_reg15573647-20346474_probgain numeric
@attribute 1441_chrom2_reg126478953-126745976_probloss numeric
@attribute 1471_chrom2_reg131945577-132042781_probgain numeric
@attribute 1673_chrom3_reg12735694-14873985_probloss numeric
@attribute 1966_chrom3_reg128485208-128664764_probnorm numeric
@attribute 1975_chrom3_reg130189196-130206126_probgain numeric
@attribute 2007_chrom3_reg143686906-144718154_probgain numeric
@attribute 2019_chrom3_reg156981865-159692979_probgain numeric
@attribute 2054_chrom3_reg166639991-168786545_probnorm numeric
@attribute 2139_chrom3_reg196908262-196937230_probgain numeric
@attribute 2170_chrom4_reg833085-843614_probnorm numeric
@attribute 2630_chrom4_reg187735989-188875290_probnorm numeric
@attribute 3150_chrom6_reg1292057-1353261_probnorm numeric
@attribute 3211_chrom6_reg18550170-18661357_probgain numeric
@attribute 3401_chrom6_reg62843325-63283741_probloss numeric
@attribute 3435_chrom6_reg69133049-69809498_probgain numeric
@attribute 3593_chrom6_reg110630205-111025278_probloss numeric
@attribute 3659_chrom6_reg128962975-130409779_probgain numeric
@attribute 4322_chrom8_reg184617-320897_probnorm numeric
@attribute 4553_chrom8_reg32812909-32947324_probloss numeric
@attribute 4629_chrom8_reg36779836-36973293_probloss numeric
@attribute 4757_chrom8_reg42014398-42175380_probloss numeric
@attribute 4795_chrom8_reg43264404-43385428_probgain numeric
@attribute 5271_chrom9_reg7319454-7723767_probgain numeric
@attribute 6437_chrom11_reg59634380-59984619_probloss numeric
@attribute 6785_chrom11_reg76858917-77204725_probloss numeric
@attribute 6851_chrom11_reg83733321-85064586_probgain numeric
@attribute 6859_chrom11_reg86480032-87537774_probgain numeric
@attribute 6911_chrom11_reg104063199-105016068_probgain numeric
@attribute 7022_chrom12_reg7894681-7915622_probnorm numeric
@attribute 7213_chrom12_reg51241859-52425218_probloss numeric
@attribute 7317_chrom12_reg72645832-73482351_probloss numeric
@attribute 7345_chrom12_reg80739510-81659894_probloss numeric
@attribute 7347_chrom12_reg80739510-81659894_probgain numeric
@attribute 7754_chrom13_reg94449214-95725796_probnorm numeric
@attribute 8607_chrom16_reg4670009-7442625_probgain numeric
@attribute 8797_chrom16_reg47641974-47668511_probloss numeric
@attribute 8905_chrom16_reg68606309-68648091_probloss numeric
@attribute 8913_chrom16_reg68710277-68751390_probloss numeric
@attribute 8917_chrom16_reg68838368-68874167_probloss numeric
@attribute 9589_chrom17_reg34900309-34925507_probloss numeric
@attribute 9593_chrom17_reg34940330-35067992_probloss numeric
@attribute 9594_chrom17_reg34940330-35067992_probnorm numeric
@attribute 9595_chrom17_reg34940330-35067992_probgain numeric
@attribute 9597_chrom17_reg35076296-35282086_probloss numeric
@attribute 9598_chrom17_reg35076296-35282086_probnorm numeric
@attribute 9601_chrom17_reg35286565-35336158_probloss numeric
@attribute 9602_chrom17_reg35286565-35336158_probnorm numeric
@attribute 9603_chrom17_reg35286565-35336158_probgain numeric
@attribute 9605_chrom17_reg35344057-35385941_probloss numeric
@attribute 9725_chrom17_reg41458670-41494331_probloss numeric
@attribute 9945_chrom17_reg49218134-49331755_probloss numeric
@attribute 10674_chrom18_reg64796820-68375250_probnorm numeric
@attribute 11613_chrom21_reg13660680-14258259_probloss numeric
@attribute 11969_chrom22_reg41221190-41290227_probloss numeric
@attribute 11987_chrom22_reg42652021-43322780_probgain numeric
@attribute 12034_chrom23_reg384298-385792_probnorm numeric
@attribute 12038_chrom23_reg422315-462468_probnorm numeric
@attribute class {HER2+,TN,HR+}

@data
0.979,0.006,0.006,0.017,0,0,0.969,0.949,0.949,0,0.962,0.958,0.981,0.989,0.006,0.003,0.011,0.003,0.011,0.934,0,0.04,0,0.011,1,0,0.024,0.01,0.01,0.01,0.986,0.004,0.017,0.017,0.013,0.976,0.987,0,0,0.007,0,0,0,0,0.803,0,0,0,0,0.803,0,0,0,0,0,0.078,0.004,0.817,0,HER2+
0.147,0,0.75,0,1,0.985,0.007,0.007,0.007,0.985,0.007,0.194,0,0.917,0.001,0.017,0.003,0.017,0.003,0,1,1,1,0,0,0.004,0.019,0.013,0.013,0,0.986,0.003,0.003,0.003,0.011,0.974,0.995,1,0.068,1,1,0,0,0,0,0,0,0,0,0,0,1,0.025,0,0.001,0.171,0,0.042,0.157,HER2+
0.287,0.329,0.001,0.352,0.582,0.957,0.041,0.041,0.041,0.957,0.004,0.381,0.981,0.989,0.006,0.003,0.012,0.034,0.023,0.005,0.001,0.001,0.07,0.005,0.001,0.005,0.026,0.009,0.009,0.011,0.788,0,0.003,0.002,0.485,0.976,0.001,0.876,0.876,0.876,0.876,0,0,0,0,0,0,0,0,0,0.783,0.766,0.06,0.947,0,0.026,0,0.411,0.411,HER2+
0.972,0.006,0.009,0.006,0.735,0.952,0.002,0.002,0.002,0.944,0.002,0.786,0.63,0.65,0.013,0.002,0.963,0.125,0.16,0.432,0.567,0.005,0.004,0.494,0,0.027,0.027,0.002,0.002,0.002,0.053,0.002,0.002,0.002,0.021,0.993,0.083,0.556,0.556,0.556,0.556,0.009,0.009,0.929,0.059,0,0,0,0,0,0,0.945,0.994,0.001,0.012,0.002,0.003,0,0.552,HER2+
0,0.005,0.009,0.006,0.464,0.983,0.012,0.012,0.012,0.983,0.012,0.972,0.981,0.234,0.001,0,0,0.876,0,0,1,1,0.753,0,0,0.493,0.493,0.001,0.001,0.001,0.904,0.996,0.011,0.017,0.014,0.976,0.997,0.013,0.014,0.014,0.014,0,0,0,0,0,0,0,0,0,0,0.996,0.299,0,0,0.357,0.001,0.876,0.876,HER2+
0.566,0.008,0.008,0.007,0.181,0.975,0.016,0.016,0.018,0.974,0.018,0.101,0.971,0.966,0.032,0.001,0.028,0.001,0.028,0,1,1,1,0.004,0,0.004,0.014,0.017,0.017,0.017,0.368,0.02,0,0,0.961,0.973,0.006,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.985,0.985,0.005,0.909,0.016,0.001,0.009,0.928,0,HER2+
0.979,0.9,0,0.905,0.007,0.985,0.007,0.007,0.007,0.976,0.015,0.989,0.979,0.989,0.006,0.005,0.007,0.005,0.007,0.897,0.008,0.008,0.008,0.098,0.005,0.018,0.02,0.012,0.012,0.012,0.987,0.004,0.004,0.004,0.008,0.998,0.977,1,0.023,1,1,0.007,0.007,0.964,0.029,0.007,0.964,0.007,0.964,0.029,0.007,0.007,0.003,0.976,0,0.022,0.012,0.001,0.001,HR+
0.968,0.53,0.001,0.131,0.008,0.61,0.387,0.387,0.387,0.614,0.384,0.989,0.981,0.987,0.605,0.006,0.006,0.006,0.006,0.012,0.985,0.985,0.984,0.92,1,0.001,0.001,0.668,0.668,0.668,0.986,0.001,0.014,0.017,0.013,0.997,0.022,0,0,1,0.034,0,0,0,0,0,0,0,0,0,0,0.017,0.015,0.002,0,0.001,0.71,0.765,0.765,HER2+
0.979,0.005,0.01,0.005,0,0,0.995,0.995,0,0,0.021,0.989,0,0.091,0.995,0,0.995,1,0,0.956,0.034,0.034,0.034,0.009,0.004,0.172,0.168,0.003,0,0,0,0.004,0.004,0.004,0.008,0,0.011,1,0.836,0.836,0.836,0.029,0.029,0.968,0.003,0.029,0.968,0.029,0.968,0.003,0.029,0.029,0.029,0.976,0.015,0.026,0.004,0.38,0,TN
0.978,0.006,0.007,0.007,0.007,0.985,0.008,0.008,0.008,0.972,0.021,0.185,0.981,0.987,0.008,0.96,0,0.934,0,0.014,0.015,0,0,0.752,0.004,0.021,0.019,0.013,0.013,0.013,0.987,0.016,0,0,0.92,0.977,0.995,0.001,0.001,0.001,0.001,0,0,0,0.929,0,0,0,0,0.929,0,0,0.001,0,0,0.002,0.438,0.924,0.924,HR+
0.959,0,0.912,0,0,0.954,0.042,0,0.086,0,0.016,0,0,0.841,0.011,0.003,0,1,0,0.928,0.067,0.067,0.067,0.005,0.978,0.068,0.055,0.716,0.716,0.96,0.238,0.017,1,1,0,0,0.004,0.003,0.1,0.1,0.1,0.071,0.071,0.92,0.008,0.071,0.92,0.071,0.92,0.008,0.071,0,0,0,0,0.017,0.017,0.072,0.072,TN
0.151,0.012,0.008,0.006,0,0.965,0.03,0.03,0.03,0.678,0,0,0.044,0,0.001,0.707,0,0.902,0.023,0,0.95,0.95,0.007,0.146,0.075,0.039,0.005,0.094,0.094,0.094,0,1,0.847,0.847,0,0.858,0.013,0.167,0.855,0.855,0.855,0,0,0.075,0.903,0,0.075,0,0.075,0.903,0,0,0.011,0.886,0,0.016,0.011,0.218,0.005,TN
0.852,0.007,0.007,0.007,0.009,0.985,0.006,0.006,0.006,0.975,0.01,0.989,0.98,0.137,0,0.917,0,0.917,0,0,1,0,0,0,0.001,0,0,0,0,0,0.985,0.01,0.01,0.01,0.023,0.998,0.013,0,0,0,0,0.01,0.01,0.977,0.013,0.01,0.977,0.01,0.977,0.013,0.01,0.01,0.01,0.001,0,1,0,0.877,0.877,HR+
0.979,0.006,0.009,0.006,0.008,0.985,0.007,0.007,0.007,0.985,0.007,0.987,0.978,0.989,0.005,0.005,0.006,0.005,0.006,0.942,0.032,0.032,0.03,0.01,0.004,0.038,0.577,0.001,0.001,0.001,0.987,0.013,0.013,0.013,0.018,0.998,0.984,1,1,1,1,0.027,0.027,0.97,0.003,0.027,0.97,0.027,0.97,0.003,0.027,0.027,0.018,0.952,0,0.025,0.011,0.591,0.591,HR+
0.976,0.006,0.009,0.006,0.009,0.379,0.619,0.619,0.619,0.191,0.806,0.983,0.967,0.454,0.545,0,0.56,0,0.56,0.01,0.98,0.98,0.978,0,0.005,0.013,0.022,0.011,0.011,0.011,0.453,0,0,0,0.694,0.948,0.998,0,0,0,0,0.398,0.398,0.599,0.002,0,0,0,0,0,0,0.662,0.977,0,0,0.044,0,0,0.45,HER2+
0.978,0.006,0.872,0.006,0.004,0.981,0.015,0.015,0.015,0.924,0.059,0.988,0.98,0,0.042,0.001,0.034,0.001,0.034,0.646,0.152,0.152,0.041,0.007,0.002,0.012,0.021,0.012,0.012,0.012,0.969,0.001,0.001,0.001,0.051,0.594,0.015,0,1,0.995,0.601,0.04,0.04,0.947,0.012,0.04,0.947,0.04,0.947,0.012,0.04,0.04,0.005,0.84,0,0.023,0.012,0.823,0.823,TN
0.948,0.1,0.003,0.018,0,0,0.995,0.995,0.995,0,0.949,0.623,0.98,0.533,0.466,0.001,0.183,0.001,0.876,0.817,0.076,0.001,0.002,0.879,0.005,0.007,0.021,0.011,0.011,0.007,0.16,0.015,0.022,0.022,0.01,0,0.011,0.046,0,0,0,0.011,0.011,0.946,0.041,0.011,0.946,0.011,0.946,0.041,0.011,0.011,0.009,0.95,0,0,0.943,0.035,0.035,TN
0.003,0.851,0,0.933,0,0.975,0.016,0.986,0.986,0,0.987,0.988,0,0,0.994,0,0.967,0,0.941,0.785,0,0,0,0.021,0.004,0,0,0.248,0.248,0.248,0,0.02,0.02,0.02,0.011,0.969,0.996,0,0,0,0,0.023,0.023,0.973,0.004,0.023,0.973,0.023,0.973,0.004,0.023,0.023,0.012,0.264,0,0,0.984,0.029,0,TN
0.008,0.004,0.035,0.002,0.026,0.976,0.015,0.015,0.015,0.976,0.012,0.916,0.563,0.989,0.006,0.004,0.008,0.05,0.016,0.944,0.03,0.03,0.029,0.011,0.004,0.012,0.012,0.003,0.003,0.003,0.987,0.003,0.003,0.003,0.013,0.977,0.981,0.995,0.98,1,0.846,0.015,0.015,0.978,0.007,0.015,0.978,0.015,0.978,0.007,0.015,0.015,0.012,0.774,0,1,0,0.749,0.02,HR+
0.204,0.371,0.006,0.008,0.007,0.976,0.015,0.015,0.015,0.976,0.015,0.985,0.633,0.989,0.005,0,0.467,0.041,0.009,0.011,0.944,0.944,0.949,0,0,1,0.035,0.007,0.007,0,0.988,0.011,0.029,0.029,0.008,0,0.997,0,0.002,0.993,0.002,0.776,0.776,0.223,0.001,0.776,0.223,0.776,0.223,0.001,0.776,0.824,0,0.95,0.938,0.752,0,0.843,0.843,HR+
0.634,0.002,0.098,0.002,0.004,0.979,0.041,0.041,0.055,0.955,0.041,0.99,0.978,0.818,0.001,0.999,0,1,0,0,0.229,0,1,0,0,0.017,0.037,0,0,0.005,0.85,0.184,0.001,0.001,0.828,0.998,0.046,0,0.026,0.026,0.026,0.002,0.002,0.643,0.345,0.002,0.643,0.002,0.643,0.345,0.002,0.003,0.003,0.934,0,0.186,0.002,0.887,0.887,HR+
0.979,0.007,0.008,0.007,0.008,0.985,0.007,0.007,0.988,0.014,0.982,0.22,0.98,0.122,0.007,0.004,0.007,0.004,0.007,0.946,0.047,0.047,0.047,0.006,0.005,0.016,0.018,0.013,0.013,0.013,0.851,0.004,0.004,0.004,0.008,0.998,0.977,0.003,0.635,0.635,0.635,0.028,0.028,0.969,0.003,0.028,0.969,0.028,0.969,0.003,0.028,0.028,0.021,0.976,0,1,0,0,0,HR+
0.977,0.006,1,0,0.007,0.985,0.008,0.008,0.008,0.976,0.015,0.988,0.98,0.989,0.006,0.005,0.007,0.005,0.007,0,1,1,0.021,0.017,0.005,1,1,0,0,0,0.135,0.009,0.009,0.009,0.026,0.977,0.014,0,0,1,0.015,1,1,0,0,1,0,1,0,0,1,1,1,0.975,0,1,0,0,0.927,HR+
0.979,0.006,0.009,0.004,0.008,0.985,0.007,0.015,0.015,0.976,0.015,0.986,0.978,0.989,0.006,0.005,0.006,0.005,0.006,0.956,0.036,0.036,0.033,0.009,0.004,0.02,0.02,0.012,0.012,0.012,0.986,0.004,0.004,0.004,0.009,0.998,0.011,0.001,0.027,1,0.043,0.032,0.032,0.966,0.003,0.032,0.966,0.032,0.966,0.003,0.032,0.032,0.024,0.961,0,1,0,0.882,0,HR+
0.968,0.006,0.008,0.007,0.01,0.985,0.008,0.008,0.008,0.974,0.016,0,0.979,0,0,0.001,0.068,1,0,0.957,1,1,0,0.161,0,0.007,0.007,0.004,0.004,0.004,0.984,0.006,0.006,1,0,0,0.013,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0.044,0,0,0.75,0,0.001,0.001,TN
0.061,0.007,0.008,0.007,0.009,0.985,0.008,0.008,0.008,0.971,0.023,0.98,0.762,0.989,0.006,0.004,0.007,0.004,0.007,0.956,0.035,0.035,0.032,0.009,0.001,0.018,0.018,0.013,0.013,0.013,0.988,0.003,0.003,0.003,0.01,0.998,0.975,0.974,0.998,0.998,0.998,0.013,0.013,0.949,0.037,0.013,0.949,0.013,0.949,0.037,0.013,0.013,0.016,0.975,0,0.022,0.012,0.25,0.25,HR+
0.979,0.006,0.009,0.006,0.008,0.985,0.006,0.006,0.006,0.976,0.013,0.987,0.987,0.989,0.006,0.005,0.006,0.005,0.006,0.052,1,0,0,0.969,0.004,0.021,1,0,0,0,0.988,0.004,0.004,0.004,0.009,0.998,0.997,1,1,1,1,0.025,0.025,0.971,0.004,0.025,0.971,0.025,0.971,0.004,0.025,0.025,0.025,0.974,0,0.055,0.006,0.817,0.007,HR+
0.187,0.748,0.007,0.007,0,0.001,0.994,0.995,0.995,0.001,0.001,0.661,0.074,0.115,0.99,0.006,0.005,0.031,0.615,0.021,0.979,0.979,0.988,0.952,1,0.001,0.002,0.416,0.416,0.416,0.002,0.479,0.027,0,0.872,0.973,0.013,0.001,0.044,0.044,0.003,0.02,0.02,0.957,0.022,0.02,0.957,0.02,0.957,0.022,0.02,0.859,0.013,0.014,0,0.802,0,0.504,0.504,TN
0.145,0.002,0.013,0.004,0.001,0.985,0.008,0.008,0.008,0.976,0.014,0.679,0.972,0.949,0.524,0,0.336,0,0.336,0,1,1,0,0.266,0,0.03,0.995,0,0,0,0.28,0.011,0.011,0.011,0.022,0.023,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997,0,0.961,0.001,0.975,0,0,0,HER2+
0.979,0.006,0.009,0.006,0.009,0.975,0.017,0.017,0.017,0.976,0.013,0,0.489,0.117,0,0.851,0,1,0,0,1,0,0,0.645,0.004,0.015,0.015,0.016,0.016,0.011,0.984,0.003,0.003,0.003,0.014,0,0.924,0,1,1,1,0.021,0.021,0.975,0.005,0.021,0.975,0.021,0.975,0.005,0.021,0.021,0.014,0.972,0,0.019,0.014,0.834,0.002,HR+
0.979,0.015,0.004,0.015,0.008,0.985,0.007,0.007,0.007,0.973,0.99,0.986,0.976,0.843,0.156,0.001,0.005,0.197,0.005,0.957,0.003,0,0,0.001,0.004,0.049,0.049,0.006,0.006,0.006,0.974,0.002,0.009,0.009,0.028,0.889,0.034,0.001,0.001,0.001,0.001,0.998,0.998,0.002,0,0.998,0.002,0.998,0.002,0,0.998,0.986,0.018,0.977,0,0.989,0,0.015,0.015,HR+
0.979,0.004,0.014,0.004,0.008,0.985,0.007,0.007,0.007,0.976,0.014,0.988,0.98,0.987,0,0.428,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.986,0.003,0.003,0.003,0.011,0.941,0.998,1,1,1,1,0,0,0,0.957,0,0,0,0,0.957,0,0,0,0.977,0,0.02,0.014,0.849,0.012,HR+
0.978,0.009,0.01,0.005,0.007,0.985,0.008,0.008,0.008,0.972,0.022,0.972,0.971,0.988,0.009,0.009,0.004,0.009,0.012,0.062,0.66,0.66,0.006,0.051,0.001,0.03,0.03,0.008,0.008,0.008,0.986,0.003,0.003,0.003,0.011,0.916,0.005,0.001,0.022,0.022,0.022,0,0,0,0.009,0,0,0,0,0,0,0.06,0.129,0.907,0,0.017,0.017,0.884,0.884,HER2+
0.979,0.013,0.958,0.002,0.443,0.974,0.019,0.71,0.71,0.125,0.967,0.208,0.034,0,0.004,0.888,0,0.087,0.01,0.621,0.046,0.046,0.039,0.008,0.006,0.008,0.977,0,0,0,0,0.958,0.02,0.02,0.011,0.976,0.009,0.621,0.039,0.039,0.039,0.031,0.031,0.953,0.015,0.031,0.953,0.031,0.953,0.015,0.031,0.031,0.035,0.017,0,0.001,0.705,0.649,0.649,TN
0.976,0.006,0.004,0.011,0.801,0.985,0.008,0.018,0.985,0,0.217,0.932,0.979,0.989,0.006,0.823,0,0.034,0.023,0,1,0,0,0.969,0,0.896,0,0,0,0,0.683,0.001,0.001,0.001,0.78,0.174,0.013,0.012,0.996,1,0.021,0.001,0.001,0.223,0.758,0.001,0.223,0.001,0.223,0.758,0.001,0.117,0.001,0.07,0,0.872,0,0.844,0.028,HR+
0.434,0.008,0.007,0.001,0.008,0.985,0.007,0.007,0.007,0.976,0.014,0.087,0.98,0.988,0.882,0,0.961,0.013,0.079,0,1,0,0,0.851,0.004,0.897,0.959,0,0,0,0.711,0.001,0.021,0.021,0.011,0.071,0.001,0.903,1,1,1,0,0,0,0,0,0,0,0,0,0,0.787,0,0.976,0,0.951,0,0.397,0.397,HER2+
